GET /cgi-bin/index.php HTTP/1.1 404 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.php HTTP/1.1 404 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET / HTTP/1.1 404 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /test.html HTTP/1.1 404 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.html HTTP/1.1 404 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.php HTTP/1.1 404 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/menu.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/menu.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/dirty_martini.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/login.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/login.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/login.php?username=user&password=user&Submit=Sign+In HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/login.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/menu.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/menu.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/dirty_martini.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/review_order.php?drinkname=Miller%20High%20Life HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/review_order.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/menu.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/order_drink.php?drink=Miller%20High%20Life&instructions= HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/recent_orders.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/recent_orders.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/menu.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/menu.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/dirty_martini.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/recent_orders.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/logout.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/login.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/login.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/login.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/login.php?username=bartender&password=bartender&Submit=Sign+In HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/login.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/index.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/bartender.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/update_order.php?id=58b38b1fe138233e8a728a62&status=queued HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/bartender.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/update_order.php?id=58b38b1fe138233e8a728a62&status=inprogress HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/bartender.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/drinks/beer.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/update_order.php?id=58b38b1fe138233e8a728a62&status=ready HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/bartender.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/js/menu.js HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/base.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/orders.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/images/TiltedM.png HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /cgi-bin/logout.php HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
GET /static/css/login.css HTTP/1.1 200 -  Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:51.0) Gecko/20100101 Firefox/51.0
